,Multiple All,Multiple Fatal,Single All,Single Fatal,Total All,Total Fatal,end_date,start_date,total_reactions,first_react
Complement C1 Esterase Inhibitor,0,0,0,0,0,0,2015-12-29,1963-07-01,41,2008-06-26
Conjugated Linoleic Acid,0,0,0,0,0,0,2013-02-25,1963-07-01,5,2013-02-09
Convolvulus,0,0,0,0,0,0,2011-12-10,1963-07-01,1,2009-01-02
Copper,0,0,0,0,0,0,2016-02-03,1963-07-01,2007,1969-09-13
Coptis,0,0,0,0,0,0,2012-01-19,1963-07-01,8,2007-10-22
Coriandrum Sativum,0,0,0,0,0,0,2014-10-31,1963-07-01,2,1989-02-24
Cornus,0,0,0,0,0,0,2012-01-19,1963-07-01,12,2007-06-07
Cortex Dictamni Radicis,0,0,0,0,0,0,2012-01-17,1963-07-01,4,2010-06-02
Corticorelin,0,0,0,0,0,0,2012-05-08,1963-07-01,1,1997-09-25
Corticotrophin,0,0,1,0,1,0,2012-11-16,1963-07-01,146,1963-12-20
Cortisone,0,0,0,0,0,0,2016-01-18,1963-07-01,129,1964-08-06
Corydalis,0,0,0,0,0,0,2015-11-16,1963-07-01,29,2007-10-22
Corylus,0,0,0,0,0,0,2012-01-11,1963-07-01,15,1982-03-25
Corymbia,0,0,0,0,0,0,2013-09-06,1963-07-01,3,2013-08-18
Coumarin,0,0,0,0,0,0,2011-12-10,1963-07-01,4,2006-10-01
Cowhage,0,0,0,0,0,0,2015-05-07,1963-07-01,1,2015-04-21
Crataegus,0,0,0,0,0,0,2015-05-19,1963-07-01,38,2000-07-09
Creatine,0,0,0,0,0,0,2016-02-04,1963-07-01,32,2006-04-05
Crelizumab,0,0,0,0,0,0,2008-05-23,1963-07-01,23,1995-05-14
Creosote,0,0,0,0,0,0,2015-12-14,1963-07-01,9,1978-09-26
Cresol,1,0,0,0,1,0,2014-12-24,1963-07-01,15,1982-03-02
Crizotinib,0,0,0,0,0,0,2016-02-09,1963-07-01,230,2010-12-22
Crocus,0,0,0,0,0,0,2015-05-07,1963-07-01,12,2009-08-15
Crodamol,0,0,0,0,0,0,2011-12-13,1963-07-01,1,2010-10-10
Cromoglycic Acid,0,0,0,0,0,0,2015-11-30,1963-07-01,991,1965-07-18
Cropropamide,0,0,0,0,0,0,2011-12-13,1963-07-01,52,1968-12-20
Crotamiton,0,0,0,0,0,0,2015-10-06,1963-07-01,103,1972-10-07
Crotethamide,0,0,0,0,0,0,2011-12-13,1963-07-01,52,1968-12-20
Cucurbita,0,0,0,0,0,0,2016-02-03,1963-07-01,46,2003-08-06
Cupric Oxide,0,0,0,0,0,0,2012-06-01,1963-07-01,4,
Curcuma,0,0,0,0,0,0,2012-05-12,1963-07-01,11,2007-10-22
Curcumin,0,0,0,0,0,0,2012-05-08,1963-07-01,1,2010-11-03
Cuscuta,0,0,0,0,0,0,2012-05-21,1963-07-01,33,2006-12-23
Cyanamide,0,0,0,0,0,0,2011-12-13,1963-07-01,13,1969-10-22
Cyathula,0,0,0,0,0,0,2012-01-11,1963-07-01,11,2007-12-07
Cyclandelate,0,0,0,0,0,0,2011-12-13,1963-07-01,66,1964-06-19
Cyclizine,1,0,5,0,6,0,2016-02-09,1963-07-01,3132,
Cyclobarbitone,0,0,0,0,0,0,2014-01-24,1963-07-01,8,1964-03-01
Cyclobenzaprine,0,0,0,0,0,0,2011-12-10,1963-07-01,3,
Cyclofenil,0,0,0,0,0,0,2015-11-30,1963-07-01,104,1971-11-12
Cyclopenthiazide,0,0,0,0,0,0,2015-11-04,1963-07-01,896,1966-05-24
Cyclopentolate,0,0,1,0,1,0,2015-12-21,1963-07-01,246,1964-03-10
Cyclophosphamide,0,0,3,0,3,0,2016-02-08,1963-07-01,3432,1964-06-08
Cyclopropane,0,0,0,0,0,0,2015-11-30,1963-07-01,4,1991-06-11
Cycloserine,0,0,1,0,1,0,2015-08-14,1963-07-01,130,1964-05-11
Cyclosporin,0,0,7,0,7,0,2016-02-04,1963-07-01,5185,
Cymbopogon,0,0,0,0,0,0,2015-12-03,1963-07-01,15,1973-08-09
Cynara,0,0,0,0,0,0,2013-02-01,1963-07-01,7,2004-09-24
Cynomorium Songarium,0,0,0,0,0,0,2011-12-10,1963-07-01,5,
Cyperus,0,0,0,0,0,0,2014-06-24,1963-07-01,28,2004-12-12
Cyproheptadine,0,0,0,0,0,0,2012-05-12,1963-07-01,52,1968-10-14
Cyproterone,1,0,0,0,1,0,2016-02-09,1963-07-01,2579,1974-12-20
Cysteamine,0,0,0,0,0,0,2009-05-11,1963-07-01,34,1998-07-01
Cysteine,0,0,0,0,0,0,2015-10-08,1963-07-01,115,
Cystine,0,0,0,0,0,0,2015-09-15,1963-07-01,9,1998-10-05
Cytarabine,0,0,1,0,1,0,2016-02-08,1963-07-01,1070,1971-03-01
Dabigatran,0,0,0,0,0,0,2016-02-09,1963-07-01,3289,
Dacarbazine,0,0,0,0,0,0,2016-01-20,1963-07-01,156,1975-07-17
Daclizumab,0,0,0,0,0,0,2015-11-18,1963-07-01,49,2001-09-10
Dactinomycin,0,0,0,0,0,0,2016-01-27,1963-07-01,301,1964-07-07
Dactylis Glomerata,0,0,0,0,0,0,2012-04-12,1963-07-01,100,1981-03-01
Dalcetrapib,0,0,0,0,0,0,2012-06-12,1963-07-01,1,2010-03-25
Dalfopristin,0,0,0,0,0,0,2016-02-08,1963-07-01,33,
Dalteparin,0,0,1,0,1,0,2016-02-02,1963-07-01,1096,1991-08-10
Danaparoid,0,0,0,0,0,0,2014-11-21,1963-07-01,22,2002-09-15
Danazol,0,0,1,0,1,0,2015-10-07,1963-07-01,2238,1974-10-01
Danthron,0,0,0,0,0,0,2015-11-30,1963-07-01,178,1965-11-25
Dantrolene,0,0,0,0,0,0,2015-11-04,1963-07-01,373,1975-03-13
Dapagliflozin,0,0,1,0,1,0,2016-02-09,1963-07-01,1310,
Dapoxetine,0,0,0,0,0,0,2015-05-07,1963-07-01,8,2012-07-09
Dapsone,0,0,0,0,0,0,2016-02-09,1963-07-01,884,
Daptomycin,0,0,0,0,0,0,2016-01-05,1963-07-01,593,2006-02-25
Darbepoetin Alfa,0,0,2,0,2,0,2016-02-08,1963-07-01,1782,
Darifenacin,0,0,0,0,0,0,2015-11-30,1963-07-01,25,2007-12-16
Darunavir,0,0,6,0,6,0,2016-02-09,1963-07-01,769,2006-03-20
Dasatinib,0,0,0,0,0,0,2016-02-08,1963-07-01,516,2006-05-05
Daucus,0,0,0,0,0,0,2013-01-08,1963-07-01,15,2012-06-06
Daunorubicin,0,0,0,0,0,0,2016-01-14,1963-07-01,316,1972-04-24
Deanol,0,0,0,0,0,0,2012-02-21,1963-07-01,5,2008-08-26
Debrisoquine,0,0,1,0,1,0,2015-11-30,1963-07-01,88,1967-05-12
Decitabine,0,0,0,0,0,0,2014-10-28,1963-07-01,25,2007-09-18
Decyl Methyl Sulphoxide,0,0,0,0,0,0,2012-05-12,1963-07-01,9,1991-02-28
Deferasirox,0,0,0,0,0,0,2016-02-03,1963-07-01,824,2007-03-14
Deferiprone,0,0,1,0,1,0,2015-10-28,1963-07-01,47,2001-09-12
Defibrotide,0,0,0,0,0,0,2015-04-28,1963-07-01,10,2012-02-28
Deflazacort,0,0,0,0,0,0,2016-02-04,1963-07-01,61,1994-09-10
Deforolimus,0,0,0,0,0,0,2012-06-01,1963-07-01,1,2012-03-28
Degarelix,0,0,0,0,0,0,2015-09-30,1963-07-01,66,2009-08-17
Dehydrocholic Acid,0,0,0,0,0,0,2012-05-08,1963-07-01,2,1994-04-15
Delavirdine,0,0,0,0,0,0,2015-01-05,1963-07-01,17,1998-01-17
Delorazepam,0,0,0,0,0,0,2015-05-05,1963-07-01,7,
Delphenium Staphisagria,0,0,0,0,0,0,2011-12-12,1963-07-01,8,2008-07-26
Demeclocycline,0,0,1,0,1,0,2016-01-11,1963-07-01,691,1963-09-23
Denatonium,0,0,0,0,0,0,2014-12-22,1963-07-01,4,2011-11-04
Denosumab,0,0,0,0,0,0,2016-02-09,1963-07-01,2785,
Deoxyribonuclease,0,0,0,0,0,0,2016-01-29,1963-07-01,110,
Depsipeptide,0,0,0,0,0,0,2014-03-20,1963-07-01,1,
Deptropine,0,0,0,0,0,0,2011-12-13,1963-07-01,15,1965-02-02
Dequalinium,0,0,0,0,0,0,2015-05-28,1963-07-01,33,1964-08-04
Desethyl Fenfluramine,0,0,0,0,0,0,2010-03-23,1963-07-01,6,
Desferrioxamine,0,0,0,0,0,0,2016-02-08,1963-07-01,471,1965-05-24
Desflurane,0,0,0,0,0,0,2016-01-29,1963-07-01,86,1993-12-09
Desipramine,0,0,0,0,0,0,2015-11-30,1963-07-01,113,1963-12-01
Desloratadine,0,0,0,0,0,0,2016-01-15,1963-07-01,512,2001-02-06
Desmopressin,0,0,0,0,0,0,2016-01-29,1963-07-01,853,1975-12-01
Desogestrel,0,0,3,0,3,0,2016-02-09,1963-07-01,3679,1982-03-01
Desvenlafaxine,0,0,0,0,0,0,2014-04-15,1963-07-01,1,2014-04-03
Dexamethasone,2,0,3,0,5,0,2016-02-02,1963-07-01,2292,
Dexamphetamine,0,0,4,0,4,0,2016-01-15,1963-07-01,148,1964-05-23
Dexfenfluramine,0,0,3,0,3,0,2015-11-04,1963-07-01,1592,1990-02-01
Dexibuprofen,0,0,1,0,1,0,2014-05-29,1963-07-01,34,2005-10-25
Dexketoprofen,0,0,0,0,0,0,2014-06-02,1963-07-01,63,1999-09-24
Dexmedetomidine,0,0,0,0,0,0,2016-01-18,1963-07-01,51,2012-01-07
Dexpanthenol,0,0,0,0,0,0,2015-10-30,1963-07-01,94,1989-07-14
Dexrazoxane,0,0,0,0,0,0,2015-03-20,1963-07-01,27,2011-08-23
Dextran,0,0,1,0,1,0,2015-11-30,1963-07-01,366,1964-06-01
Dextranomer,0,0,0,0,0,0,2015-05-12,1963-07-01,8,1978-02-28
Dextrin,0,0,0,0,0,0,2012-11-07,1963-07-01,2,
Dextromethorphan,0,0,0,0,0,0,2016-02-03,1963-07-01,592,1976-02-18
Dextromoramide,0,0,0,0,0,0,2012-05-12,1963-07-01,93,1963-08-01
Dextropropoxyphene,7,0,1,0,8,0,2015-11-04,1963-07-01,1852,1964-09-10
Di Iodohydroxyquinoline,0,0,0,0,0,0,2011-12-13,1963-07-01,2,
Diamorphine,0,0,0,0,0,0,2016-02-09,1963-07-01,685,1970-05-21
Diazepam,0,0,10,0,10,0,2016-02-04,1963-07-01,4148,1964-05-15
Diazolidinyl Urea,0,0,0,0,0,0,2011-12-12,1963-07-01,3,
Diazoxide,0,0,0,0,0,0,2015-12-15,1963-07-01,154,1966-07-04
Dibotermin Alfa,0,0,0,0,0,0,2015-04-21,1963-07-01,35,2005-01-13
Dibromopropamidine,0,0,0,0,0,0,2016-01-12,1963-07-01,64,1966-01-03
Dichloralphenazone,1,0,0,0,1,0,2013-08-20,1963-07-01,86,1969-04-14
Dichlorobenzyl Alcohol,0,0,0,0,0,0,2016-01-15,1963-07-01,61,1973-08-13
Dichlorodifluoromethane,0,0,0,0,0,0,2011-12-13,1963-07-01,5,1978-05-15
Dichlorophen,0,0,0,0,0,0,2012-01-14,1963-07-01,9,1979-01-03
Dichlorphenamide,0,0,0,0,0,0,2012-05-12,1963-07-01,85,1964-08-10
Diclazepam,0,0,0,0,0,0,2015-09-23,1963-07-01,5,2015-08-23
Diclofenac,1,0,14,0,15,0,2016-02-09,1963-07-01,16149,
Dicloxacillin,0,0,0,0,0,0,2015-01-05,1963-07-01,3,2012-04-26
Dictamnus Desycarpus,0,0,0,0,0,0,2012-05-12,1963-07-01,6,2000-07-09
Dicyclomine,1,0,0,0,1,0,2015-06-26,1963-07-01,764,1964-10-29
Didanosine,0,0,1,0,1,0,2016-02-04,1963-07-01,1124,1993-12-30
Didecyl Dimethyl Azanium Chloride,0,0,0,0,0,0,2015-10-13,1963-07-01,4,2015-09-30
Dienoestrol,0,0,0,0,0,0,2015-06-26,1963-07-01,92,1967-08-01
Dienogest,0,0,0,0,0,0,2015-11-23,1963-07-01,52,2003-10-09
Diethylpropion,0,1,0,0,1,0,2015-03-11,1963-07-01,496,1964-04-27
Diethylstilbestrol,0,0,0,0,0,0,2015-06-12,1963-07-01,162,1964-06-22
Diflucortolone,0,0,0,0,0,0,2012-05-12,1963-07-01,6,1977-02-01
Diflunisal,0,0,1,0,1,0,2015-06-26,1963-07-01,1456,1978-03-02
Digitalis,0,0,0,0,0,0,2011-12-13,1963-07-01,27,1964-04-01
Digitoxin,0,0,0,0,0,0,2011-12-13,1963-07-01,4,1974-05-09
Digoxin,0,0,1,0,1,0,2016-02-09,1963-07-01,1405,1964-06-15
Digoxin Specific Antibody Fragments,0,0,0,0,0,0,2015-12-30,1963-07-01,18,2001-08-11
Dihydrocodeine,0,1,2,0,3,0,2016-02-09,1963-07-01,2596,1963-08-13
Dihydroergotamine,0,0,0,0,0,0,2015-08-12,1963-07-01,26,1973-02-01
Dihydroxyacetone,0,0,0,0,0,0,2014-04-11,1963-07-01,2,2014-03-17
Diindolylmethane,0,0,0,0,0,0,2012-07-13,1963-07-01,1,
Diloxanide,0,0,0,0,0,0,2011-12-13,1963-07-01,11,1983-11-05
Diltiazem,0,0,8,0,8,0,2016-02-01,1963-07-01,4354,1984-07-03
Dimenhydrinate,0,0,0,0,0,0,2015-11-06,1963-07-01,42,1965-05-28
Dimethindene,0,0,0,0,0,0,2012-05-12,1963-07-01,11,1969-11-09
Dimethothiazine,0,0,0,0,0,0,2011-12-13,1963-07-01,16,1967-10-01
Dimethyl Ether,0,0,0,0,0,0,2011-12-12,1963-07-01,8,2006-08-03
Dimethyl Fumarate,0,0,0,0,0,0,2016-02-09,1963-07-01,476,
Dimethyl Sulfone,0,0,0,0,0,0,2013-10-03,1963-07-01,6,2010-11-03
Dimethyl Sulphoxide,0,0,0,0,0,0,2012-09-03,1963-07-01,44,1977-04-01
Dimethylacetamide,0,0,0,0,0,0,2011-12-12,1963-07-01,1,
Dimethyltryptamine,0,0,0,0,0,0,2015-11-25,1963-07-01,4,
Dimeticone,1,0,0,0,1,0,2016-01-05,1963-07-01,202,1966-02-23
Dimocarpus,0,0,0,0,0,0,2012-01-19,1963-07-01,5,2011-09-15
Dinoprost,0,0,0,0,0,0,2011-12-13,1963-07-01,10,1987-04-02
Dinoprostone,0,0,0,0,0,0,2015-12-02,1963-07-01,501,1973-01-01
Dioscorea,0,0,0,0,0,0,2014-08-25,1963-07-01,59,2000-07-09
Diosmin,0,0,0,0,0,0,2014-04-11,1963-07-01,2,2014-03-12
Diphencyprone,0,0,0,0,0,0,2011-12-14,1963-07-01,1,2011-04-16
Diphenhydramine,0,0,3,0,3,0,2016-02-04,1963-07-01,1439,1964-03-20
Diphenidine,0,0,0,0,0,0,2015-09-23,1963-07-01,5,2015-08-23
Diphenoxylate,0,0,0,0,0,0,2014-07-25,1963-07-01,366,1964-05-30
Diphenyl Prolinol,0,0,0,0,0,0,2011-12-12,1963-07-01,5,2008-03-04
Diphenylpyraline,0,0,0,0,0,0,2014-11-03,1963-07-01,77,1964-10-08
Dipipanone,0,0,0,0,0,0,2016-01-14,1963-07-01,117,1964-12-29
Dipivefrine,0,0,0,0,0,0,2012-05-12,1963-07-01,92,1984-11-20
Dipropylene Glycol,0,0,0,0,0,0,2011-12-12,1963-07-01,3,
Dipsacus,0,0,0,0,0,0,2015-11-06,1963-07-01,17,2007-06-07
Dipyridamole,0,0,1,0,1,0,2016-02-09,1963-07-01,1597,
Dipyrone,0,0,0,0,0,0,2015-03-30,1963-07-01,10,2011-10-17
Disopyramide,0,0,1,0,1,0,2015-05-05,1963-07-01,662,1972-11-04
Distigmine,0,0,0,0,0,0,2012-05-12,1963-07-01,34,1967-08-17
Disulfiram,0,0,3,0,3,0,2016-01-27,1963-07-01,492,1964-06-04
Dithranol,0,0,0,0,0,0,2015-05-11,1963-07-01,64,1966-07-09
Dobutamine,0,0,0,0,0,0,2015-12-23,1963-07-01,126,1985-03-01
Docetaxel,0,0,0,0,0,0,2016-02-08,1963-07-01,2652,1995-10-28
Docosahexaenoic Acid,0,0,0,0,0,0,2016-01-27,1963-07-01,107,1987-05-28
Docusate,0,0,2,0,2,0,2016-01-08,1963-07-01,289,1966-02-07
Dofetilide,0,0,0,0,0,0,2012-05-08,1963-07-01,5,2001-01-22
Dog Hair,0,0,0,0,0,0,2011-12-12,1963-07-01,7,2003-11-28
Dolasetron,0,0,0,0,0,0,2012-01-16,1963-07-01,36,2004-04-27
Dolichos Lablab,0,0,0,0,0,0,2012-01-19,1963-07-01,8,2007-10-22
Domiphen,0,0,0,0,0,0,2011-12-13,1963-07-01,6,1968-05-08
Domperidone,0,0,1,0,1,0,2016-02-03,1963-07-01,1112,1982-01-16
Donepezil,0,0,3,0,3,0,2016-02-08,1963-07-01,2870,1997-04-15
Dopamine,0,0,0,0,0,0,2015-11-30,1963-07-01,51,1978-05-07
Dopexamine,0,0,0,0,0,0,2011-12-12,1963-07-01,1,1992-12-08
Doripenem,0,0,0,0,0,0,2014-03-14,1963-07-01,6,2010-03-20
Dorzolamide,1,0,0,0,1,0,2016-01-20,1963-07-01,951,1995-10-01
Dosulepin,0,0,7,0,7,0,2016-02-08,1963-07-01,2331,1969-11-03
Dothiepin,0,0,0,0,0,0,2012-01-11,1963-07-01,1,2001-07-01
Doxapram,0,0,0,0,0,0,2015-11-30,1963-07-01,45,1982-07-08
Doxazosin,0,0,5,0,5,0,2016-02-09,1963-07-01,3411,
Doxepin,0,0,0,0,0,0,2015-10-28,1963-07-01,471,1969-06-12
Doxorubicin,0,0,1,0,1,0,2016-02-01,1963-07-01,1797,1976-05-12
Doxycycline,0,0,5,0,5,0,2016-02-09,1963-07-01,3502,
Doxylamine,0,0,0,0,0,0,2016-01-26,1963-07-01,572,1964-10-29
Dronabinol,0,0,0,0,0,0,2016-01-05,1963-07-01,101,2006-01-13
Dronedarone,0,0,0,0,0,0,2015-11-04,1963-07-01,620,2002-02-01
Droperidol,0,0,2,0,2,0,2015-11-30,1963-07-01,412,1965-12-01
Drospirenone,0,0,0,0,0,0,2016-01-21,1963-07-01,1289,2002-05-05
Drostanolone,0,0,0,0,0,0,2015-04-03,1963-07-01,8,1975-04-01
Drotrecogin Alfa Activated,0,0,0,0,0,0,2015-11-04,1963-07-01,289,2003-01-15
Dryopteris,0,0,0,0,0,0,2011-12-15,1963-07-01,2,1975-05-22
Duloxetine,0,0,12,0,12,0,2016-02-08,1963-07-01,4709,2004-09-22
Dutasteride,0,0,4,0,4,0,2016-02-08,1963-07-01,450,2003-04-10
Dydrogesterone,1,0,1,0,2,0,2016-01-13,1963-07-01,570,1964-11-06
Echinacea,0,0,1,0,1,0,2016-01-27,1963-07-01,157,1997-03-15
Echinacea Purpurea Radix,0,0,0,0,0,0,2015-06-29,1963-07-01,17,2014-05-09
Eclipta Prostrata,0,0,0,0,0,0,2015-05-19,1963-07-01,18,2004-01-14
Econazole,0,0,0,0,0,0,2015-06-26,1963-07-01,81,1978-09-27
Ecothiopate,0,0,0,0,0,0,2011-12-13,1963-07-01,7,1965-02-19
Eculizumab,0,0,0,0,0,0,2016-02-09,1963-07-01,416,2005-05-23
Edetic Acid,0,0,0,0,0,0,2015-10-13,1963-07-01,51,1967-07-17
Edrophonium,0,0,0,0,0,0,2011-12-13,1963-07-01,11,1984-06-02
Efalizumab,0,0,0,0,0,0,2012-05-12,1963-07-01,138,2005-04-01
Efavirenz,0,0,2,0,2,0,2016-02-09,1963-07-01,1877,1998-01-14
Eflornithine,0,0,0,0,0,0,2015-01-12,1963-07-01,48,2005-01-03
Eformoterol,0,4,0,0,4,0,2016-02-08,1963-07-01,2419,
Efungumab,0,0,0,0,0,0,2011-12-12,1963-07-01,3,2006-02-27
Eicosapentaenoic Acid,0,0,0,0,0,0,2016-01-27,1963-07-01,109,1987-05-28
Elaeis Guineensis,0,0,0,0,0,0,2011-12-12,1963-07-01,1,2010-05-24
Eletriptan,0,0,0,0,0,0,2014-11-24,1963-07-01,44,2002-07-16
Elettaria Cardamomum,0,0,0,0,0,0,2014-06-24,1963-07-01,6,
Eleutherococcus Senticosus,0,0,0,0,0,0,2015-08-03,1963-07-01,57,2006-12-23
Eltrombopag,0,0,0,0,0,0,2015-12-11,1963-07-01,130,2006-04-27
Elvitegravir,0,0,0,0,0,0,2016-02-09,1963-07-01,89,2013-09-30
Embelia Ribes,0,0,0,0,0,0,2014-06-24,1963-07-01,12,
Emedastine,0,0,0,0,0,0,2011-12-12,1963-07-01,4,2001-06-05
Emepronium,0,0,0,0,0,0,2012-05-12,1963-07-01,433,1968-06-22
Empagliflozin,0,0,0,0,0,0,2016-02-04,1963-07-01,60,2014-11-19
Emtricitabine,0,0,0,0,0,0,2016-02-09,1963-07-01,1630,2004-08-23
Emu Oil,0,0,0,0,0,0,2011-12-12,1963-07-01,1,2003-11-04
Emulsifying Wax,0,0,0,0,0,0,2015-12-08,1963-07-01,54,1988-07-01
Enalapril,0,0,5,0,5,0,2016-02-09,1963-07-01,7164,1984-06-01
Enbucrilate,0,0,0,0,0,0,2014-04-04,1963-07-01,18,1994-10-19
Enflurane,0,0,1,0,1,0,2016-02-04,1963-07-01,186,1978-04-27
Enfuvirtide,0,0,0,0,0,0,2015-12-11,1963-07-01,79,2003-04-27
Enicostemma Littorale,0,0,0,0,0,0,2012-01-16,1963-07-01,3,2006-05-01
Enoxacin,0,0,0,0,0,0,2015-06-26,1963-07-01,41,1989-06-07
Enoxaparin,0,0,0,0,0,0,2016-02-08,1963-07-01,1727,1991-02-01
Enoximone,0,0,0,0,0,0,2012-05-12,1963-07-01,64,1989-04-29
Enoxolone,0,0,0,0,0,0,2014-05-07,1963-07-01,9,2002-12-15
Entacapone,0,2,1,0,3,0,2016-02-08,1963-07-01,910,1998-12-25
Entecavir,0,0,0,0,0,0,2016-02-01,1963-07-01,62,2007-06-20
Enzalutamide,0,0,2,0,2,0,2016-01-29,1963-07-01,240,2013-12-12
Ephedra,0,0,0,0,0,0,2012-05-12,1963-07-01,15,2000-10-23
Ephedrine,0,0,0,0,0,0,2015-11-30,1963-07-01,431,1964-06-05
Ephenidine,0,0,0,0,0,0,2015-09-23,1963-07-01,5,2015-08-23
Epigallocatechin Gallate,0,0,0,0,0,0,2013-09-05,1963-07-01,9,2009-05-01
Epilobium,0,0,0,0,0,0,2009-10-13,1963-07-01,3,
Epimedium,0,0,0,0,0,0,2015-07-16,1963-07-01,47,2005-11-05
Epinephrine,0,0,0,0,0,0,2016-02-09,1963-07-01,107,1967-12-07
Epirubicin,0,0,0,0,0,0,2016-02-08,1963-07-01,906,1986-03-01
Epitiostanol,0,0,0,0,0,0,2012-05-08,1963-07-01,2,
Eplerenone,0,0,1,0,1,0,2016-02-01,1963-07-01,270,2005-02-11
Epoprostenol,0,0,0,0,0,0,2015-12-18,1963-07-01,161,1983-03-03
Epothilone B,0,0,0,0,0,0,2011-12-12,1963-07-01,1,2003-11-17
Eprosartan,0,0,0,0,0,0,2015-11-03,1963-07-01,174,2000-05-23
Eptifibatide,0,0,0,0,0,0,2014-09-18,1963-07-01,24,2000-03-20
Equisetum,0,0,0,0,0,0,2016-02-01,1963-07-01,33,2003-07-17
Erdosteine,0,0,0,0,0,0,2016-02-03,1963-07-01,29,2007-02-15
Ergometrine,0,0,0,0,0,0,2016-01-25,1963-07-01,339,1964-08-18
Ergotamine,0,1,0,0,1,0,2015-07-23,1963-07-01,345,1964-07-24
Eribulin,0,0,0,0,0,0,2015-10-19,1963-07-01,190,2011-05-26
Eriobotrya Japonica,0,0,0,0,0,0,2012-01-11,1963-07-01,8,1999-08-04
Erlotinib,0,0,0,0,0,0,2016-02-08,1963-07-01,843,2005-03-01
Ertapenem,0,0,1,0,1,0,2016-01-27,1963-07-01,285,2004-05-11
Erythromycin,0,0,4,0,4,0,2016-02-09,1963-07-01,5410,1964-06-08
Erythropoietin,0,0,0,0,0,0,2016-02-09,1963-07-01,1023,
Erythrosine,0,0,0,0,0,0,2014-12-01,1963-07-01,22,1972-11-18
Erythroxylum,0,0,0,0,0,0,2012-01-16,1963-07-01,7,2009-08-15
Escitalopram,0,0,8,0,8,0,2016-01-29,1963-07-01,2509,
Eslicarbazepine,0,0,0,0,0,0,2015-12-14,1963-07-01,114,2010-05-14
Esmolol,0,0,0,0,0,0,2015-11-30,1963-07-01,33,1991-12-30
Esomeprazole,0,0,2,0,2,0,2016-02-03,1963-07-01,1353,2000-02-15
Estradiol,4,0,0,0,4,0,2016-02-09,1963-07-01,5732,
Estramustine,0,0,0,0,0,0,2012-05-12,1963-07-01,48,1978-03-20
Estrogen,1,0,0,0,1,0,2016-02-09,1963-07-01,2014,1972-08-19
Estrogen Equine,0,0,1,0,1,0,2011-12-12,1963-07-01,2,2010-12-02
Estrogens_Unspecified,1,0,0,0,1,0,2011-12-19,1963-07-01,1861,
Estrone,0,0,0,0,0,0,2012-05-12,1963-07-01,24,1982-01-07
Estropipate,0,0,0,0,0,0,2012-05-12,1963-07-01,103,1973-06-28
Etanercept,0,0,3,0,3,0,2016-02-09,1963-07-01,12713,1999-09-30
Ethacrynic Acid,0,0,0,0,0,0,2015-05-05,1963-07-01,88,1963-11-12
Ethambutol,0,0,0,0,0,0,2016-02-02,1963-07-01,627,1967-08-03
Ethamivan,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1968-03-16
Ethamsylate,0,0,0,0,0,0,2012-07-13,1963-07-01,199,1964-11-16
Ethanol,0,0,5,0,5,0,2016-01-18,1963-07-01,1100,1970-09-20
Ethanolamine,0,0,0,0,0,0,2012-06-07,1963-07-01,51,1965-05-17
Ether,0,0,0,0,0,0,2015-09-16,1963-07-01,9,1992-01-31
Ethinyloestradiol,6,0,0,0,6,0,2016-02-09,1963-07-01,19119,
Ethionamide,0,0,0,0,0,0,2011-12-13,1963-07-01,27,1964-05-15
Ethisterone,0,0,0,0,0,0,2015-04-02,1963-07-01,24,1964-09-10
Ethoglucid,0,0,0,0,0,0,2012-05-12,1963-07-01,10,1965-10-18
Ethoheptazine,0,0,0,0,0,0,2012-05-12,1963-07-01,234,1964-05-17
Ethosuximide,0,0,2,0,2,0,2016-02-04,1963-07-01,324,1964-04-30
Ethyl Chloride,0,0,0,0,0,0,2015-10-26,1963-07-01,16,1968-03-08
Ethyl Citrate,0,0,0,0,0,0,2012-06-01,1963-07-01,4,
Ethyl Hydroxybenzoate,0,0,0,0,0,0,2015-01-06,1963-07-01,14,2014-02-18
Ethyl Icosapent,0,0,0,0,0,0,2013-01-25,1963-07-01,2,
Ethyl Nicotinate,0,0,0,0,0,0,2016-01-20,1963-07-01,79,1973-08-14
Ethyl Salicylate,0,0,0,0,0,0,2016-01-15,1963-07-01,42,1986-11-23
Ethylcellulose,0,0,0,0,0,0,2011-12-12,1963-07-01,3,1997-02-12
Ethylene Glycol,0,0,0,0,0,0,2014-11-24,1963-07-01,5,
Ethynodiol,0,1,0,0,1,0,2014-04-23,1963-07-01,2067,1964-02-01
Etidocaine,0,0,0,0,0,0,2011-12-13,1963-07-01,1,1990-05-18
Etidronic Acid,1,0,0,0,1,0,2015-11-04,1963-07-01,1296,1981-04-01
Etizolam,0,0,0,0,0,0,2014-01-24,1963-07-01,2,
Etodolac,0,0,1,0,1,0,2016-02-01,1963-07-01,1263,1985-04-01
Etofenamate,0,0,0,0,0,0,2014-01-31,1963-07-01,7,2012-09-12
Etomidate,0,0,0,0,0,0,2015-11-30,1963-07-01,278,1979-05-15
Etonogestrel,0,0,4,0,4,0,2016-02-09,1963-07-01,7677,
Etoposide,0,0,1,0,1,0,2016-02-03,1963-07-01,1299,1981-05-01
Etoricoxib,0,0,2,0,2,0,2016-02-09,1963-07-01,2164,2002-04-16
